chr,start,end,hervd_name,intact_ENV,intact_POL,intact_GAG,SNP,SNP_phenotype,dist_from_SNP,virus_length_bp,nearest_gene,dist_nearest_gene
chr13,51744002,51749142,"ERV_1021404_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5140,C13orf42,2356
chr13,54701553,54707293,"ERV_1095867_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5740,LINC00458,5453
chr13,54842277,54844892,"ERV_1024064_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,2615,MIR1297,41214
chr13,55266197,55273953,ERV_1096137_MER52_int,TRUE,TRUE,TRUE,None,None,-1,7756,MIR1297,380014
chr13,55274996,55280517,ERV_1024409_HERV9NC_int,FALSE,TRUE,TRUE,None,None,-1,5521,MIR1297,388813
chr13,55492226,55494322,"ERV_1096234_HERVK9_int,MER9a3",FALSE,TRUE,TRUE,None,None,-1,2096,MIR5007,254266
chr13,55511332,55516895,"ERV_1096240_HERVFH21_int,LTR21A",TRUE,TRUE,TRUE,None,None,-1,5563,MIR5007,231693
chr13,55627766,55635926,"ERV_1024682_LTR17,HERV17_int",FALSE,TRUE,TRUE,None,None,-1,8160,MIR5007,112662
chr13,56019984,56026979,"ERV_1025039_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,6995,MIR5007,271301
chr13,56152363,56158248,"ERV_1096515_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5885,MIR5007,403680
chr13,56160673,56166513,"ERV_1096518_HERVL_int,MLT2A1,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,5840,MIR5007,411990
chr13,56229066,56234943,"ERV_1096549_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5877,MIR5007,480383
chr13,56433331,56454533,"ERV_1096639_LTR27E,MER52_int",FALSE,TRUE,TRUE,None,None,-1,21202,MIR5007,684648
chr13,56445448,56454352,"ERV_1096645_LTR71A,HERVP71A_int",FALSE,TRUE,TRUE,None,None,-1,8904,MIR5007,696765
chr13,56614385,56620428,"ERV_1025486_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,6043,MIR5007,865702
chr13,56686545,56692393,"ERV_1096756_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5848,MIR5007,937862
chr13,57829907,57835207,ERV_1026410_ERV24_Prim_int,TRUE,TRUE,TRUE,None,None,-1,5300,PRR20E,85555
chr13,61070046,61075273,"ERV_1029012_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,5227,TDRD3,77959
chr13,61662592,61668573,"ERV_1029445_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5981,MIR3169,105358
chr13,61779816,61785421,"ERV_1029535_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5605,MIR3169,5802
chr13,61865680,61870780,"ERV_1099327_LTR57_int,LTR57",FALSE,TRUE,FALSE,None,None,-1,5100,MIR3169,91666
chr13,62723607,62730279,ERV_1030243_HERV30_int,FALSE,TRUE,TRUE,None,None,-1,6672,LINC01075,56135
chr13,63216771,63222138,"ERV_1030625_MLT2B1,MLT2B2,ERVL-B4_int",FALSE,TRUE,FALSE,None,None,-1,5367,LINC00448,24279
chr13,63787326,63793265,"ERV_1031099_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5939,LINC00376,36032
chr13,64058257,64061736,"ERV_1031316_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,3479,LINC00376,156030
chr13,66715464,66721185,"ERV_1101615_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5721,MIR4704,71196
chr13,66752117,66758942,"ERV_1101638_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,6825,MIR4704,33439
chr13,66800501,66806472,"ERV_1101674_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5971,MIR4704,8045
chr13,67914162,67922735,"ERV_1102130_LTR71A,HERVP71A_int",TRUE,TRUE,TRUE,None,None,-1,8573,LINC00364,23783
chr13,67971847,67979579,ERV_1034415_HERVE_a_int,TRUE,TRUE,TRUE,None,None,-1,7732,LINC00364,17721
chr13,70073269,70080086,"ERV_1103088_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6817,LINC00383,177036
chr13,71600403,71605437,"ERV_1103844_LTR22E,HERVK22_int",TRUE,TRUE,TRUE,None,None,-1,5034,LINC00348,16165
chr13,72592917,72598447,"ERV_1038294_HERVL18_int,LTR18A",FALSE,TRUE,FALSE,None,None,-1,5530,DACH1,151575
chr13,78507358,78513531,"ERV_1107814_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,6173,EDNRB,13455
chr13,79848217,79853971,"ERV_1044459_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5754,RBM26,39031
chr13,80757646,80764117,"ERV_1045157_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,6471,SPRY2,145993
chr13,81470840,81472380,ERV_1045692_HERV9NC_int,TRUE,TRUE,TRUE,None,None,-1,1540,LINC00377,120145
chr13,82440230,82446566,"ERV_1046464_LTR7,HERVH_int",FALSE,TRUE,TRUE,rs261503,NAN,-1,6336,LINC00564,639112
chr13,82896997,82906075,"ERV_1046829_HUERS-P3_int,LTR9A1",TRUE,TRUE,TRUE,None,None,-1,9078,LINC00564,1095879
chr13,83544017,83548610,"ERV_1110443_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,4593,SLITRK1,902729
chr13,84482436,84487982,"ERV_1110817_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,5546,SLITRK1,25827
chr13,85443678,85451455,"ERV_1048876_LTR14C,HERVK14C_int",TRUE,TRUE,TRUE,None,None,-1,7777,SNORA107,85765
chr13,86509489,86514037,"ERV_1049718_MER52_int,MER52C",FALSE,TRUE,TRUE,None,None,-1,4548,SLITRK6,135935
chr13,87010423,87016408,"ERV_1050009_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5985,LINC00430,545447
chr13,87232686,87236951,"ERV_1050205_HERVL_int,MLT2A2",FALSE,TRUE,FALSE,None,None,-1,4265,LINC00430,324904
chr13,87409519,87418176,"ERV_1112163_HERVFH21_int,LTR21B",TRUE,TRUE,TRUE,None,None,-1,8657,LINC00430,143679
chr13,87838704,87844379,"ERV_1112354_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5675,LINC00430,249642
chr13,87985876,87989671,"ERV_1050839_HERV9_int,LTR12F",TRUE,TRUE,TRUE,None,None,-1,3795,MIR4500HG,106570
chr13,88931362,88936719,"ERV_1051665_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,5357,LINC00373,43025
chr13,89165074,89171024,"ERV_1112932_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5950,LINC00433,22059
chr13,90255980,90257955,"ERV_1113447_HERVL_int,MLT2A2",FALSE,TRUE,FALSE,None,None,-1,1975,LINC00353,39313
chr13,90307587,90313839,ERV_1052796_PABL_B_int,FALSE,TRUE,TRUE,None,None,-1,6252,LINC00353,90920
chr13,91265671,91270681,"ERV_1113928_HERVL18_int,LTR18A",FALSE,TRUE,FALSE,None,None,-1,5010,LINC01049,78075
chr13,91491818,91497402,"ERV_1053757_HERVH_int,LTR7Y",TRUE,TRUE,TRUE,None,None,-1,5584,LINC00410,45805
chr13,91500827,91506558,"ERV_1114055_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5731,LINC00410,36649
chr13,93693066,93695699,ERV_1055468_HERV17_int,FALSE,FALSE,TRUE,None,None,-1,2633,LINC00363,1894
chr13,98239662,98248509,"ERV_1118120_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,8847,RAP2A,118280
chr13,98294572,98300471,"ERV_1059549_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5899,RAP2A,173190
chr13,98420264,98425757,ERV_1118228_ERVL-E_int,FALSE,TRUE,FALSE,None,None,-1,5493,IPO5,180171
chr13,99412111,99420570,"ERV_1060650_HERV3_int,LTR61",TRUE,TRUE,TRUE,None,None,-1,8459,SLC15A1,7185
chr13,100139120,100148743,"ERV_1119428_HERV4_I_int,MER51A",TRUE,TRUE,TRUE,None,None,-1,9623,LINC00449,3233
chr13,100729584,100737179,"ERV_1061899_LTR12C,HERV9NC_int",TRUE,TRUE,TRUE,None,None,-1,7595,PCCA-DT,1105
chr13,100934517,100938211,"ERV_1062055_LTR12C,HERV9NC_int",TRUE,TRUE,TRUE,None,None,-1,3694,PCCA-AS1,178479
chr13,101873767,101878417,ERV_1062817_HERVFH19_int,TRUE,TRUE,TRUE,None,None,-1,4650,NALCN-AS1,162129
chr13,103320174,103324914,"ERV_1121414_LTR22E,HERVK22_int",TRUE,TRUE,TRUE,None,None,-1,4740,TPP2,12134
chr13,104859943,104866219,"ERV_1122233_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,6276,LINC01309,779908
chr13,108544367,108549174,ERV_1123990_HERV9_int,TRUE,TRUE,TRUE,None,None,-1,4807,FAM155A,24523
chr13,109869037,109877793,"ERV_1124693_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,8756,MYO16,8684
chr13,109917438,109923506,"ERV_1069516_HERVH_int,LTR7Y",TRUE,TRUE,TRUE,None,None,-1,6068,MYO16,57085
chr13,110600615,110604901,"ERV_1070103_HERVL_int,MLT2A1",FALSE,TRUE,FALSE,None,None,-1,4286,LINC00396,100730
chr13,111585493,111593532,"ERV_1070865_HERVP71A_int,LTR71B",FALSE,TRUE,FALSE,None,None,-1,8039,ANKRD10,18077
chr13,111618190,111622910,ERV_1070891_HERVIP10F_int,FALSE,TRUE,TRUE,None,None,-1,4720,LINC00431,4537
chr13,111842289,111850664,ERV_1125658_HERV9_int,FALSE,TRUE,TRUE,rs4773330,NAN,-1,8375,ARHGEF7,4742
chr13,113243276,113246505,ERV_1071877_ERV24_Prim_int,FALSE,TRUE,TRUE,rs7998202,NAN,-1,3229,TUBGCP3,777
chr14,19123787,19136379,"ERV_1127117_HERVIP10F_int,LTR10A",FALSE,TRUE,TRUE,None,None,-1,12592,OR11H12,241214
chr14,19123787,19136379,"ERV_2424356_HERVIP10F_int,LTR10A",FALSE,TRUE,TRUE,None,None,-1,12592,OR11H12,241214
chr14,20446594,20450524,"ERV_1128079_HERVIP10F_int,LTR10A",TRUE,FALSE,FALSE,None,None,-1,3930,OR4K15,1870
chr14,21035475,21041697,"ERV_1128626_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6222,RNASE9,6385
chr14,21068461,21075477,"ERV_1128658_HERVL18_int,LTR18C",FALSE,TRUE,FALSE,None,None,-1,7016,LOC254028,6919
chr14,21168995,21174738,"ERV_1128748_LTR7C,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5743,RNASE4,380
chr14,21178594,21183841,"ERV_1207201_HERVIP10F_int,LTR10A",TRUE,TRUE,TRUE,None,None,-1,5247,RNASE4,9219
chr14,21184180,21194519,"ERV_1207203_HERVIP10F_int,LTR10A",TRUE,FALSE,FALSE,None,None,-1,10339,RNASE4,14805
chr14,21282677,21284919,"ERV_1207273_HERVH_int,LTR7B",FALSE,TRUE,TRUE,None,None,-1,2242,RNASE1,11674
chr14,21298930,21304911,"ERV_1207282_HERVH48_int,MER48",FALSE,TRUE,TRUE,None,None,-1,5981,RNASE1,27927
chr14,22704432,22712083,"ERV_1130188_LTR17,HERV17_int",FALSE,TRUE,TRUE,None,None,-1,7651,LOC105370401,135724
chr14,24161761,24168177,"ERV_1131539_HERV3_int,LTR61",TRUE,TRUE,TRUE,None,None,-1,6416,DHRS2,46913
chr14,24478905,24484985,"ERV_1209339_HERVK_int,LTR5A",TRUE,TRUE,TRUE,None,None,-1,6080,DHRS4L2,3288
chr14,25750257,25756639,"ERV_1210060_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6382,STXBP6,230754
chr14,25894778,25900135,"ERV_1210135_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5357,STXBP6,375275
chr14,27586919,27592131,"ERV_1210984_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,5212,LOC728755,198900
chr14,28879914,28890437,"ERV_1135179_LTR3A,HERVK3_int",TRUE,TRUE,TRUE,None,None,-1,10523,FOXG1-AS1,304010
chr14,29640031,29645936,"ERV_1135777_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,5905,LINC01551,376031
chr14,30510980,30520830,"ERV_1136468_HERVL_int,MLT2A2",FALSE,TRUE,FALSE,None,None,-1,9850,PRKD1,113927
chr14,30996359,30999569,"ERV_1212551_HERVL18_int,LTR18A",FALSE,TRUE,FALSE,None,None,-1,3210,G2E3,28759
chr14,31715568,31720379,"ERV_1213075_HERVH_int,LTR7Y",TRUE,TRUE,TRUE,None,None,-1,4811,HECTD1,38569
chr14,32174025,32181895,"ERV_1213456_HERV9NC_int,LTR12D",TRUE,TRUE,TRUE,None,None,-1,7870,NUBPL,1879
chr14,32440673,32446692,"ERV_1213663_MLT2C1,ERVL-B4_int",FALSE,TRUE,FALSE,rs915071,NAN,-1,6019,LINC02313,21173
chr14,32703567,32719854,"ERV_1213852_MER50_int,MER50",FALSE,TRUE,TRUE,None,None,-1,16287,RNU6-8,31092
chr14,38573436,38576501,ERV_1143736_HERV17_int,FALSE,TRUE,TRUE,rs10498337,NAN,-1,3065,SSTR1,100607
chr14,38659843,38665732,"ERV_1143818_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5889,SSTR1,11376
chr14,40362406,40368927,"ERV_1145140_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6521,FBXO33,460702
chr14,40476063,40481235,"ERV_1145209_HERVL_int,MLT2A2",FALSE,TRUE,FALSE,None,None,-1,5172,FBXO33,574359
chr14,41703124,41709621,"ERV_1219236_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6497,LINC02315,92873
chr14,41985074,41991084,"ERV_1146317_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,6010,LRFN5,84974
chr14,42520967,42524510,"ERV_1146713_HERVL_int,MLT2A1",FALSE,TRUE,FALSE,None,None,-1,3543,LRFN5,147215
chr14,42776306,42783392,"ERV_1219757_HERVK9_int,MER9a3",TRUE,TRUE,TRUE,None,None,-1,7086,LRFN5,402554
chr14,42923606,42929025,"ERV_1146995_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,5419,LRFN5,549854
chr14,43082018,43084355,ERV_1219889_MER101_int,TRUE,TRUE,TRUE,None,None,-1,2337,LRFN5,708266
chr14,43273474,43276325,ERV_1147269_HERVK22_int,FALSE,TRUE,TRUE,None,None,-1,2851,LRFN5,899722
chr14,43471374,43477793,ERV_1147395_HUERS-P3_int,FALSE,TRUE,TRUE,None,None,-1,6419,LRFN5,1097622
chr14,44080905,44086448,"ERV_1147845_HERV4_I_int,MER51E",TRUE,TRUE,TRUE,None,None,-1,5543,FSCB,886903
chr14,44884729,44888409,"ERV_1148485_LTR22E,HERVK22_int",FALSE,TRUE,TRUE,None,None,-1,3680,FSCB,84942
chr14,45134050,45140927,"ERV_1148666_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,6877,LINC02302,91432
chr14,45488688,45492897,"ERV_1221042_LTR17,HERV17_int",FALSE,TRUE,TRUE,None,None,-1,4209,TOGARAM1,54946
chr14,45964165,45968962,"ERV_1221389_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,4797,LINC02303,206498
chr14,46183454,46184648,ERV_1221497_HERVK14_int,TRUE,TRUE,TRUE,None,None,-1,1194,LINC02303,1351
chr14,46444554,46451230,"ERV_1221641_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,6676,LINC00871,82131
chr14,46481636,46487317,"ERV_1221656_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5681,LINC00871,46044
chr14,47013209,47018873,"ERV_1150025_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,5664,LINC00871,42103
chr14,47573400,47577993,"ERV_1150488_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,4593,MDGA2,50174
chr14,48668504,48671621,ERV_1151362_HERV9_int,FALSE,TRUE,TRUE,None,None,-1,3117,LINC00648,404287
chr14,48724402,48730153,"ERV_1222665_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5751,LINC00648,460185
chr14,48731599,48737485,"ERV_1222667_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5886,LINC00648,467382
chr14,51011690,51021621,"ERV_1153609_LTR57_int,LTR57",FALSE,TRUE,FALSE,None,None,-1,9931,ATL1,5121
chr14,51359880,51363600,"ERV_1153890_LTR7,HERVH_int",TRUE,TRUE,TRUE,rs8019546,NAN,-1,3720,PYGL,8334
chr14,51615304,51633938,ERV_1154132_ERV24B_Prim_int,FALSE,TRUE,TRUE,None,None,-1,18634,TRIM9,52882
chr14,52215305,52219277,ERV_1154628_HERVE_int,TRUE,TRUE,TRUE,rs10141001,Venous Thrombosis,53192,3972,FRMD6,17860
chr14,52631317,52639295,"ERV_1154965_HERVK9_int,MER9a3",TRUE,TRUE,TRUE,rs730532,NAN,-1,7978,PTGDR,95120
chr14,53595463,53602294,"ERV_1155895_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,6831,LOC101927620,17777
chr14,54023842,54028862,ERV_1156233_ERVL_int,FALSE,TRUE,TRUE,None,None,-1,5020,MIR5580,386282
chr14,57793822,57802273,"ERV_1228545_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,8451,AP5M1,28362
chr14,57832675,57834731,"ERV_1159580_HERVK9_int,MER9a3",FALSE,TRUE,TRUE,None,None,-1,2056,NAA30,22572
chr14,58187316,58193909,"ERV_1159834_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6593,SLC35F4,144401
chr14,58588999,58592876,"ERV_1160153_LTR17,HERV17_int",TRUE,TRUE,TRUE,None,None,-1,3877,ARMH4,10043
chr14,59912083,59916516,"ERV_1161322_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,4433,GPR135,10960
chr14,61599970,61605888,"ERV_1230865_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5918,SLC38A6,49519
chr14,63214755,63219036,"ERV_1231886_MER41C,PRIMA41_int",FALSE,TRUE,TRUE,None,None,-1,4281,KCNH5,52855
chr14,63324122,63327057,"ERV_1231924_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,2935,KCNH5,160876
chr14,70278180,70282740,"ERV_1170686_LTR3A,HERVK3_int",FALSE,TRUE,TRUE,None,None,-1,4560,LOC100506358,4264
chr14,70288598,70294538,"ERV_1237083_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,5940,LOC100506358,5914
chr14,70760204,70768646,"ERV_1237372_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,8442,COX16,23151
chr14,70811369,70817223,"ERV_1171165_HERVH48_int,MER48",FALSE,TRUE,TRUE,None,None,-1,5854,COX16,15031
chr14,70898682,70910529,"ERV_1237464_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,11847,ADAM21,8361
chr14,70903181,70910194,"ERV_1237465_HERV3_int,LTR4",TRUE,TRUE,TRUE,None,None,-1,7013,ADAM21,8696
chr14,71590924,71596730,"ERV_1171870_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5806,PCNX1,8825
chr14,71926100,71932837,"ERV_1238183_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,6737,LOC145474,21740
chr14,72402702,72408594,"ERV_1238511_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,5892,RGS6,8351
chr14,73595160,73600744,"ERV_1239394_LTR7,HERVH_int",TRUE,TRUE,TRUE,rs10483853,NAN,-1,5584,PSEN1,2470
chr14,74170042,74175920,"ERV_1174455_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,5878,DNAL1,393
chr14,76046841,76052840,"ERV_1241628_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,5999,LOC102724153,910
chr14,80691153,80697599,"ERV_1245254_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6446,DIO2,6247
chr14,80930731,80939385,"ERV_1181376_HERVK22_int,LTR22B1",TRUE,TRUE,TRUE,None,None,-1,8654,DIO2-AS1,8921
chr14,81695512,81700489,"ERV_1182051_MLT2B2,ERVL-B4_int",FALSE,TRUE,TRUE,None,None,-1,4977,LOC101928504,5788
chr14,82310444,82315428,"ERV_1246201_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,4984,LINC02311,100962
chr14,82527247,82532145,"ERV_1246334_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,4898,LINC02311,317765
chr14,83517140,83524231,ERV_1183630_MER66_int,TRUE,TRUE,TRUE,None,None,-1,7091,LINC02301,343971
chr14,84420809,84425916,"ERV_1184395_MER41C,PRIMA41_int",FALSE,TRUE,TRUE,None,None,-1,5107,LINC02301,1247640
chr14,84966594,84972328,"ERV_1247542_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5734,SNORD3P3,765947
chr14,85022737,85034435,"ERV_1247562_MER52_int,LTR28C",TRUE,TRUE,TRUE,None,None,-1,11698,SNORD3P3,703840
chr14,85727138,85730048,"ERV_1247932_MLT2A1,HERVL_int",FALSE,TRUE,FALSE,None,None,-1,2910,SNORD3P3,8227
chr14,86198781,86204956,"ERV_1248209_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,6175,FLRT2,78009
chr14,87197930,87203439,"ERV_1186809_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5509,LINC01148,168682
chr14,87701035,87707135,"ERV_1248979_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,6100,LINC01148,311936
chr14,90693969,90700282,"ERV_1190085_HERVL_int,MLT2A2",FALSE,TRUE,TRUE,None,None,-1,6313,PSMC1,22614
chr14,90704940,90715717,"ERV_1190095_MER4E,MER4B_int",FALSE,TRUE,TRUE,rs2282032,NAN,-1,10777,PSMC1,7179
chr14,92132432,92133913,ERV_1191596_HERV9NC_int,TRUE,TRUE,TRUE,None,None,-1,1481,CATSPERB,65998
chr14,92508099,92516198,"ERV_1252266_LTR7,HERVH_int",TRUE,TRUE,TRUE,rs7153027,NAN,-1,8099,TRIP11,1696
chr14,93088786,93094511,"ERV_1252818_LTR10B2,HERVIP10B3_int,LTR10G",TRUE,FALSE,FALSE,None,None,-1,5725,RIN3,51933
chr14,93226084,93229886,"ERV_1192773_LTR7C,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,3802,LGMN,11112
chr14,94025738,94031324,"ERV_1253611_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5586,UNC79,134040
chr14,96434570,96445210,"ERV_1196098_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,10640,TUNAR,42662
chr14,98913130,98918911,"ERV_1257287_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5781,C14orf177,259038
chr14,99451542,99459301,"ERV_1199191_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,7759,BCL11B,176322
chr14,101771591,101777584,"ERV_1259211_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5993,LINC00524,94739
chr14,101782036,101790471,"ERV_1201327_HERVIP10F_int,LTR10A",FALSE,TRUE,FALSE,None,None,-1,8435,LINC00524,81852
chr14,101785737,101789814,ERV_1201328_HERVIP10F_int,TRUE,FALSE,FALSE,None,None,-1,4077,LINC00524,82509
chr14,102700172,102715289,"ERV_1202171_HERVFH21_int,LTR21A",TRUE,TRUE,TRUE,None,None,-1,15117,MOK,1591
chr14,102706294,102712116,"ERV_1202173_LTR7,HERVH_int",FALSE,TRUE,TRUE,None,None,-1,5822,MOK,658
chr14,103629761,103642217,"ERV_1203199_LTR1D1,MER52_int",TRUE,TRUE,TRUE,None,None,-1,12456,LINC00605,11340
chr14,103636336,103641215,"ERV_1203201_HERVK14_int,LTR14B",TRUE,TRUE,TRUE,None,None,-1,4879,LINC00605,12342
chr14,103700335,103705834,"ERV_1203256_HERVK9_int,MER9a2",FALSE,TRUE,TRUE,None,None,-1,5499,LINC00605,44970
chr14,106139650,106142540,"ERV_1205294_HERVK_int,LTR5B",TRUE,TRUE,TRUE,None,None,-1,2890,ELK2AP,506
